epoch,acc,loss,val_acc,val_loss
0,0.8940625,0.3724795440236727,0.906,0.3296092989643415
1,0.90425,0.33459712875882786,0.9153333333333333,0.29799980628490447
2,0.912375,0.3041975879619519,0.9214166666666667,0.27661239612599214
3,0.9218333333333333,0.27574399978667496,0.9261666666666667,0.2565090231398741
4,0.9290208333333333,0.24976560744643211,0.934,0.23314450117448965
5,0.9357708333333333,0.22637920181701582,0.9435833333333333,0.2083032964617014
6,0.9415833333333333,0.20507113295172652,0.9466666666666667,0.1932226200774312
7,0.947125,0.18730695453161994,0.9504166666666667,0.18017150280376276
8,0.9509166666666666,0.17214429459099967,0.9535833333333333,0.1658129722798864
9,0.9547916666666667,0.158481114971141,0.9538333333333333,0.16023823353648187
10,0.9579375,0.14668138957209886,0.9575,0.14988656183580557
11,0.96125,0.13650006241103013,0.95925,0.14135517284274102
12,0.9639791666666667,0.12707094273126374,0.9593333333333334,0.13828696362798412
13,0.9666875,0.1190049288161099,0.96225,0.13025311786557237
14,0.9686041666666667,0.11123121098677317,0.9644166666666667,0.12387859961390495
15,0.9701458333333334,0.10431399494099121,0.9668333333333333,0.11906400603428482
16,0.9721041666666667,0.09805646429987003,0.9680833333333333,0.11388030865540107
